ID,Año,Título y Medio,Ocasión y Lugar,# representaciones,Última representación,GP compositor,Título,Medio,Ocasión,Lugar,Facebook live,Universidad de Chile,# Intérpretes GP H,# Intérpretes GP M,# Intérpretes GP ND
RMCh238_136,2022,"Cerro Barón (2008) para ensamble de percusión, arr: Carlos Vera Pinto*",Concierto Aniversario Grupo de Percusión UC: 50 años de tradición y patrimonio. Instituto de Música de la Pontificia Universidad Católica de Chile. Centro de Extensión Oriente,1,2022-07-11,male,Cerro Barón (2008),"ensamble de percusión, arr: Carlos Vera Pinto*",Concierto Aniversario Grupo de Percusión UC: 50 años de tradición y patrimonio. Instituto de Música de la Pontificia Universidad Católica de Chile. Centro de Extensión Oriente,,False,False,8.0,0.0,2.0
RMCh238_137,2022,La búsqueda (2013) para ensamble de percusión,Concierto Aniversario Grupo de Percusión UC: 50 años de tradición y patrimonio. Instituto de Música de la Pontificia Universidad Católica de Chile. Centro de Extensión Oriente,1,2022-07-11,male,La búsqueda (2013),ensamble de percusión,Concierto Aniversario Grupo de Percusión UC: 50 años de tradición y patrimonio. Instituto de Música de la Pontificia Universidad Católica de Chile. Centro de Extensión Oriente,,False,False,8.0,0.0,2.0
RMCh238_138,2022,Suite de música folclórica para orquesta,"IX Concierto de Temporada: “Chile: Unidos por nuestros campos, desiertos, mares y cordilleras”, Teatro Municipal de Antofagasta",1,2022-09-09,male,Suite de música folclórica,orquesta,IX Concierto de Temporada: “Chile: Unidos por nuestros campos,desiertos,False,False,1.0,0.0,1.0
RMCh238_139,2022,Épsilon (2015) para dos oboes,"Festival Internacional de Oboe, Asociación Cultural Mismar. Vía Facebook Live",1,2022-04-12,male,Épsilon (2015),dos oboes,Festival Internacional de Oboe,Asociación Cultural Mismar. Vía Facebook Live,True,False,2.0,0.0,1.0
RMCh238_140,2022,Alleluia para tres voces femeninas,"Culto de Pentecostés, Iglesia Evangélica Luterana ""El Redentor"", Providencia",1,2022-06-03,male,Alleluia,tres voces femeninas,Culto de Pentecostés,"Iglesia Evangélica Luterana ""El Redentor""",False,False,1.0,2.0,0.0
RMCh238_141,2022,Palimpsesto para voz y orquesta (Arr. Alejandra Rivas),"VII Concierto de vigilia de la memoria, en homenaje a las víctimas de la dictadura militar. Teatro Aula Magna USACH",1,2022-09-10,unknown,Palimpsesto,voz y orquesta (Arr. Alejandra Rivas),VII Concierto de vigilia de la memoria,en homenaje a las víctimas de la dictadura militar. Teatro Aula Magna USACH,False,False,2.0,1.0,1.0
RMCh238_142,2022,Tonadita santiaguina (2018) para cuarteto de saxofones,58ª Temporada de Cámara. Instituto de Música de la Pontificia Universidad Católica de Chile. Centro de Extensión Oriente,1,2022-08-16,male,Tonadita santiaguina (2018),cuarteto de saxofones,58ª Temporada de Cámara. Instituto de Música de la Pontificia Universidad Católica de Chile. Centro de Extensión Oriente,,False,False,4.0,0.0,1.0
RMCh238_143,2022,SCP-106 para electrónica,"Concierto acusmático de compositores chilenos. Gabinete de Electroacústica para la música de Arte (GEMA), Facultad de Artes de la Universidad de Chile. Sala Isidora Zegers",1,2022-08-24,male,SCP-106,electrónica,Concierto acusmático de compositores chilenos. Gabinete de Electroacústica para la música de Arte (GEMA),Facultad de Artes de la Universidad de Chile. Sala Isidora Zegers,False,True,0.0,0.0,0.0
RMCh238_144,2022,Sur y Este de los Cuatro caminos (2007) para dúo de guitarras,"2ndo Seminario de Guitarra de la Universidad de Chile. Salón de Honor, Casa Central de la Universidad de Chile",1,2022-08-25,unknown,Sur y Este de los Cuatro caminos (2007),dúo de guitarras,2ndo Seminario de Guitarra de la Universidad de Chile. Salón de Honor,Casa Central de la Universidad de Chile,False,True,1.0,0.0,2.0
RMCh238_145,2022,Breve aviario del fin del mundo* para clarinete y piano,"Concierto “Nuevas composiciones chilenas para clarinete y piano”, Facultad de Artes de la Universidad de Chile, Sala Isidora Zegers",1,2022-09-07,female,Breve aviario del fin del mundo*,clarinete y piano,Concierto “Nuevas composiciones chilenas para clarinete y piano”,Facultad de Artes de la Universidad de Chile,False,True,1.0,1.0,0.0
RMCh238_146,2022,Elegía de un pampino para conjunto de instrumentos de plectro,"Concierto “Música de plectro de Chile para el mundo”, Facultad de Artes de la Universidad de Chile, Sala Isidora Zegers",1,2022-08-17,male,Elegía de un pampino,conjunto de instrumentos de plectro,Concierto “Música de plectro de Chile para el mundo”,Facultad de Artes de la Universidad de Chile,False,True,5.0,0.0,2.0
