ID,Año,Título y Medio,Ocasión y Lugar,# representaciones,Última representación,GP compositor,Título,Medio,Ocasión,Lugar,Facebook live,Universidad de Chile,# Intérpretes GP H,# Intérpretes GP M,# Intérpretes GP ND
RMCh237_010,2022,"O vos omnes, de las Cinco piezas sacras para coro mixto a cappella (2014, revisión 2022)","XIX Encuentro de Música Sacra, Templo Mayor, Campus Oriente, Pontificia Universidad Católica de Chile",1,2022-03-22,male,"O vos omnes, de las Cinco piezas sacras","coro mixto a cappella (2014, revisión 2022)",XIX Encuentro de Música Sacra,Templo Mayor,False,False,11.0,8.0,1.0
RMCh237_011,2022,"O vos omnes, de las Cinco piezas sacras para coro mixto a cappella (2014, revisión 2022)","XIX Encuentro de Música Sacra, Parroquia de La Anunciación, Providencia, Santiago",1,2022-03-23,male,"O vos omnes, de las Cinco piezas sacras","coro mixto a cappella (2014, revisión 2022)",XIX Encuentro de Música Sacra,Parroquia de La Anunciación,False,False,11.0,8.0,1.0
RMCh237_012,2021,Sul Binzá (2021) para clarinete,"XVIII Festival Internacional de Música Contemporánea Darwin Vargas, Organizado por la Pontificia Universidad Católica de Chile",1,2021-10-15,male,Sul Binzá (2021),clarinete,XVIII Festival Internacional de Música Contemporánea Darwin Vargas,Organizado por la Pontificia Universidad Católica de Chile,False,False,1.0,0.0,0.0
RMCh237_013,2021,Partita (1957) para violoncello solo (1. Allegro moderato; 2. Andante; 3. Presto furioso),"Concierto de Título, Nicolás Benavides, Elena Shitikova (pianista acompañante)",1,2021-11-27,male,Partita (1957),violoncello solo (1. Allegro moderato; 2. Andante; 3. Presto furioso),Concierto de Título,Nicolás Benavides,False,False,1.0,0.0,0.0
RMCh237_014,2021,Puelche (2020),"I Festival Latinoamericano de Música de Cámara, Organizado por la Asociación Cultural Mismar",1,2021-11-27,male,Puelche (2020),,I Festival Latinoamericano de Música de Cámara,Organizado por la Asociación Cultural Mismar,False,False,1.0,1.0,1.0
RMCh237_015,2021,Metáfora de un reencuentro (2019) para dos oboes,"I Festival Latinoamericano de Música de Cámara, Organizado por la Asociación Cultural Mismar",1,2021-11-26,male,Metáfora de un reencuentro (2019),dos oboes,I Festival Latinoamericano de Música de Cámara,Organizado por la Asociación Cultural Mismar,False,False,2.0,0.0,1.0
RMCh237_016,2021,Intumus* (2021) para contrabajo,"XXX Festival Internacional de Música Contemporánea Pontificia Universidad Católica de Chile, Organizado por el Instituto de Música de la Pontificia Universidad Católica de Chile",1,2021-11-12,unknown,Intumus* (2021),contrabajo,XXX Festival Internacional de Música Contemporánea Pontificia Universidad Católica de Chile,Organizado por el Instituto de Música de la Pontificia Universidad Católica de Chile,False,False,1.0,0.0,0.0
RMCh237_017,2021,Contracción III (2021) para contrabajo y orquesta de cuerdas,"Festival Puente Un encuentro interoceánico de culturas, Final Concurso Composición, organizado por Fundación Orquesta Marga Marga y en colaboración con el Ministerio de las Artes, las Culturas y el Patrimonio",1,2021-11-25,unknown,Contracción III (2021),contrabajo y orquesta de cuerdas,Festival Puente Un encuentro interoceánico de culturas,Final Concurso Composición,False,False,2.0,1.0,1.0
RMCh237_018,2021,Tara (2020),"XVIII Festival Internacional de Música Contemporánea Darwin Vargas, Organizado por la Pontificia Universidad Católica de Valparaíso",1,2021-10-11,male,Tara (2020),,XVIII Festival Internacional de Música Contemporánea Darwin Vargas,Organizado por la Pontificia Universidad Católica de Valparaíso,False,False,1.0,0.0,1.0
RMCh237_019,2021,Track-11 (2021) para electrónica y video,"XVIII Festival Internacional de Música Contemporánea Darwin Vargas, organizado por la Pontificia Universidad Católica de Valparaíso",1,2021-10-13,unknown,Track-11 (2021),electrónica y video,XVIII Festival Internacional de Música Contemporánea Darwin Vargas,organizado por la Pontificia Universidad Católica de Valparaíso,False,False,0.0,0.0,0.0
RMCh237_020,2021,Preludio Psicótico* (2021) para piano,"XVIII Festival Internacional de Música Contemporánea Darwin Vargas, Organizado por la Pontificia Universidad Católica de Chile",1,2021-10-12,male,Preludio Psicótico* (2021),piano,XVIII Festival Internacional de Música Contemporánea Darwin Vargas,Organizado por la Pontificia Universidad Católica de Chile,False,False,1.0,0.0,0.0
